Cairo,القاهرة
Giza,الجيزة
Helwan,حلوان
Ain Shams,عين شمس
Asyut,اسيوط
Alexandria,الاسكندرية,alex
Tanta,طنطا
Damietta,دمياط
Talkha,طلخة
15th of May,15 مايو
6th of October,6 october,السادس من اكتوبر,6,6اكتوبر
Dar El Salam,دار السلام
10th of Ramadan,العاشر من رمضان
Aga,اجا
Aswan,اسوان
Beni Suef,بني سويف
El Arish,العريش
El Tor,الطور
El Matareya,المطرية
Ismailia,الاسماعيلية
Kafr El Sheikh,كفر الشيخ
Faqous,فاقوس
Fayed,فايد
Faiyum,الفيوم
Luxor,الأقصر
Mansoura,المنصورة
Minya,المنيا
Matai,مطاي
Menouf,منوف
Marsa Alam,مرسى علم
New Qena,قنا الجديدة
Obour,العبور,عبور
Port Said,بور سعيد
Rosetta,رشيد
Sadat,السادات
Quesna,قويسنا
Ras El Bar,راس البر
Sharm El Sheikh,شرم الشيخ
Sohag,سوهاج
Suez,السويس
Sherbin,شربين
Zagazig,الزقازيق
Abu Hammad,none
Abu Hummus,none
Abu Kebir,none
Abu Qirqas,none
Abu Suweir,none
Abu Tig,none
Abu El Matamir,none
Akhmim,none
Armant,none
Ashmoun,none
Badr,none
Baltim,none
Banha,none
Basyoun,none
Beila,none
Belqas,none
Beni Mazar,none
Beni Ebeid,none
Biba,none
Bilbeis,none
Birket El Sab,none
Bush,none
Dairut,none
Damanhur,none
Daraw,none
Deir Mawas,none
Dekernes,none
Desouk,none
Dishna,none
Edfu,none
Edku,none
El Mahalla El Kubra,none
El Badari,none
El Bagour,none
El Balyana,none
El Basaliya,none
El Bayadiya,none
El Dabaa,none
El Delengat,none
El Fashn,none
El Gamaliya,none
El Ghanayem,none
El Hamool,none
El Hamam,none
El Husseiniya,none
El Idwa,none
El Ibrahimiya,none
El Kanayat,none
El Kareen,none
El Mahmoudiyah,none
El Mansha,none
El Manzala,none
El Maragha,none
El Rahmaniya,none
El Reyad,none
El Rhoda,none
El Santa,none
El Sarw,none
El Sebaiya,none
El Senbellawein,none
El Shohada,none
El Shorouk,none
El Waqf,none
El Wasta,none
El Qantara,none
El Qanater El Khayreya,none
El Qoseir,none
El Qusiya,none
El Zarqa,none
Esna,none
Ezbet El Borg,none
Faraskur,none
Farshut,none
Fuwa,none
Girga,none
Hihya,none
Hosh Essa,none
Hurghada,none
Ibsheway,none
Ihnasiya,none
Itay El Barud,none
Itsa,none
Kafr El Zayat,none
Kafr El Batikh,none
Kafr El Dawwar,none
Kafr Saad,none
Kafr Saqr,none
Kafr Shukr,none
Khanka,none
Kharga,none
Khusus,none
Kom Hamada,none
Kom Ombo,none
Kotoor,none
Maghagha,none
Mallawi,none
Manfalut,none
Mashtool El Souk,none
Mersa Matruh,none
Metoubes,none
Minyet El Nasr,none
Mit Abu El Kom,none
Mit Abu Ghaleb,none
Mit Adlan,none
Mit Bera,none
Mit El Korama,none
Mit Elwan,none
New Nubariya,none
New Salhia,none
New Sohag,none
New Tiba,none
Qaha,none
Qallin,none
Qalyub,none
Qena,none
Qift,none
Qus,none
Rafah,none
Ras Burqa,none
Ras Gharib,none
Ras Sedr,none
Ras Shokeir,none
Safaga,none
Sahel Selim,none
Saint Catherine,none
Samalut,none
Samanoud,none
Saqultah,none
Senuris,none
Sers El Lyan,none
Sheikh Zuweid,none
Shibin El Qanater,none
Shibin El Kom,none
Shubra El Kheima,none
Shubrakhit,none
Sidi Barrani,none
Sidi Salem,none
Siwa Oasis,none
Sodfa,none
Sumusta El Waqf,none
Tahta,none
Tala,none
Tamiya,none
Tell El Kebir,none
Tima,none
Tukh,none
Wadi El Natrun,none
Zefta,none
